TransactionID,Date,AssetID,Type,Quantity,PricePerUnit,TotalValue
1,5/18/2025,3,  buy ,43,1003.04,43130.72
2,5/14/2025,,  sell ,34,1757.62,59759.08
3,5/22/2025,4,  buy ,46,692.26,31843.96
4,5/8/2025,6,  sell ,34,,32565.88
5,5/18/2025,4,  buy ,22,139.97,3079.34
6,5/21/2025,4,  buy ,1,234.89,234.89
7,5/28/2025,1,  buy ,5,1820.3,9101.5
8,5/22/2025,6,  buy ,33,,18222.93
9,5/30/2025,8,  buy ,35,351.39,12298.65
10,5/26/2025,10,  sell ,16,1590.78,25452.48
11,5/14/2025,7,  buy ,7,284.17,1989.19
12,5/24/2025,6,  sell ,27,987.35,26658.45
13,5/11/2025,1,  buy ,4,864.98,3459.92
14,5/15/2025,2,  buy ,13,461.4,5998.2
15,5/8/2025,3,  sell ,12,629.24,7550.88
16,5/21/2025,2,  sell ,36,286.03,10297.08
17,5/28/2025,9,  buy ,6,1860.1,11160.6
18,5/7/2025,4,  buy ,27,1022.72,27613.44
19,5/13/2025,,  buy ,11,,9020.55
20,5/24/2025,,  sell ,19,903.71,17170.49
21,5/7/2025,9,  sell ,10,460.81,4608.1
22,5/2/2025,1,  buy ,48,695.85,33400.8
23,5/17/2025,10,  sell ,33,1846.84,60945.72
24,5/6/2025,3,  buy ,33,252.21,8322.93
25,5/13/2025,2,  buy ,44,1737.46,76448.24
26,9/11/2025,3,sell,28,437.14,12239.92
27,11/27/2025,5,sell,67,1632.99,109410.33
28,9/1/2025,9,buy,64,883.97,56574.08
29,6/15/2025,9,sell,99,1575.18,155942.82
30,9/15/2025,,buy,99,1868.44,184975.56
31,8/11/2025,7,sell,71,915.09,64971.39
32,6/21/2025,8,buy,32,,
33,9/11/2025,8,buy,18,1814.85,32667.3
34,9/30/2025,3,sell,21,1670.27,35075.67
35,8/14/2025,5,sell,10,1801.49,18014.9
36,8/27/2025,3,sell,67,120.59,8079.53
37,9/25/2025,7,buy,10,273.44,2734.4
38,9/8/2025,,sell,43,1905.12,81920.16
39,9/12/2025,,buy,57,1189.53,67803.21
40,10/30/2025,7,buy,98,952.05,93300.9
41,10/9/2025,4,buy,10,724.46,7244.6
42,10/28/2025,7,sell,25,1529.51,38237.75
43,7/23/2025,4,sell,70,,
44,6/2/2025,7,buy,73,,
45,8/27/2025,6,buy,72,1144.1,82375.2
46,11/5/2025,9,sell,78,1786.64,139357.92
47,7/8/2025,4,buy,31,,
48,10/8/2025,7,sell,76,1546.87,117562.12
49,6/21/2025,7,buy,85,,
50,11/8/2025,1,sell,35,,
51,7/28/2025,9,buy,25,1661.53,41538.25
52,6/22/2025,9,sell,60,,
53,8/28/2025,6,buy,95,1974.62,187588.9
54,7/19/2025,9,sell,66,804.22,53078.52
55,7/29/2025,1,sell,38,1899.77,72191.26
56,11/17/2025,8,buy,87,1531.42,133233.54
57,6/15/2025,6,buy,78,258.65,20174.7
58,11/22/2025,8,sell,56,1160.97,65014.32
59,7/21/2025,,buy,71,,
60,9/16/2025,4,sell,78,,
61,7/25/2025,7,buy,85,,
62,8/3/2025,1,sell,25,,
63,10/9/2025,,sell,99,1333.5,132016.5
64,7/21/2025,1,sell,99,1208.4,119631.6
65,10/13/2025,,sell,57,812.25,46298.25
66,6/21/2025,1,sell,94,1750.34,164531.96
67,8/12/2025,2,sell,48,,
68,11/14/2025,6,buy,42,,
69,6/18/2025,,buy,32,1793.17,57381.44
70,10/10/2025,8,buy,19,,
71,8/28/2025,6,sell,78,1152.32,89880.96
72,7/30/2025,4,sell,43,1093.89,47037.27
73,6/14/2025,6,sell,61,1421.92,86737.12
74,6/9/2025,1,sell,19,1292.36,24554.84
75,8/29/2025,6,buy,28,,
76,7/23/2025,3,buy,67,633.83,42466.61
77,10/8/2025,,sell,10,1791.5,17915
78,8/23/2025,3,buy,78,1278.25,99703.5
79,8/31/2025,4,buy,13,457.43,5946.59
